model      ;temperature;prompt                                   ;tokens;iteration;response       ;semantic_shift
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.21
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until observed.;0.16
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.14
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.21
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.22
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that studies the behavior and interactions of particles at the smallest scales where phenomena such as superposition entanglement and wave-particle duality occur.;0.14
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states rather than definite ones.;0.23
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.6        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.2 
gpt-4o     ;0.6        ;Write a quatrain about war               ;20    ;1        ;in fields where echoes of the past remain   the drums of war beat loud a mournful;1.06
gpt-4o     ;0.6        ;Write a quatrain about war               ;20    ;2        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers lie;1.05
gpt-4o     ;0.6        ;Write a quatrain about war               ;20    ;3        ;in fields where echoes of the past reside   the drums of war beat with a chilling sound.;1.1 
gpt-4o     ;0.6        ;Write a quatrain about war               ;20    ;4        ;in fields where silence once did reign   now echoes clash with cries and pain.   the sky;1.03
gpt-4o     ;0.6        ;Write a quatrain about war               ;50    ;1        ;in fields where shadows stretch and echoes roar   the drums of conflict beat a somber song.   yet in the hearts of many dreams implore   for peace to rise where war has lingered long.;1.02
gpt-4o     ;0.6        ;Write a quatrain about war               ;50    ;2        ;in fields where silence once held sway   now echoes roar with cries and fear   the sky is bruised with smoke and fray   yet hope persists though war draws near.;1.11
gpt-4o     ;0.6        ;Write a quatrain about war               ;50    ;3        ;in fields where echoes of past battles lie   the drums of war beat out a somber tone.   beneath the scarlet sky brave soldiers cry   while peace a distant dream remains unknown.;1.02
gpt-4o     ;0.6        ;Write a quatrain about war               ;50    ;4        ;in fields where echoes of the past reside   the clash of steel and cries of valor ring.   yet in the shadows silent tears abide   for peace is the true song the heart would sing.;1.07
gpt-4o     ;0.6        ;Write a quatrain about war               ;100   ;1        ;in fields where echoes of the cannons roar   the silent whispers of the fallen soar.   yet through the smoke a hope begins to rise   for peace to dawn beneath the scarlet skies.;0.99
gpt-4o     ;0.6        ;Write a quatrain about war               ;100   ;2        ;in fields where silence once held sway   the echoes of the past now play.   with shadows cast by fire's light   war paints the day conceals the night.;1.02
gpt-4o     ;0.6        ;Write a quatrain about war               ;100   ;3        ;in fields where echoes of the past remain   the drums of war beat on a fierce refrain.   yet in the silence hope begins to weave   a tapestry of peace for hearts that grieve.;1.08
gpt-4o     ;0.6        ;Write a quatrain about war               ;100   ;4        ;in fields where silence once held sway   the drums of war now thunder loud   with courage fierce and hearts astray   beneath the somber shrouding cloud.;1.05
gpt-4o     ;0.6        ;Write a quatrain about war               ;200   ;1        ;in fields where echoes of battle resound   soldiers tread on blood-soaked ground.   amidst the cries hope dares to bloom   yet shadows of war cast a lingering gloom.;0.99
gpt-4o     ;0.6        ;Write a quatrain about war               ;200   ;2        ;amidst the clash of steel and cries of woe   the fields once green are now a somber grey.   in shadows cast by flames the sorrows grow   yet hope flickers where peace begins to play.;1.0 
gpt-4o     ;0.6        ;Write a quatrain about war               ;200   ;3        ;in fields where shadows stretch and thunder roars   the cries of battle echo through the night.   in crimson tides the cost of war implores   a plea for peace beneath the stars' dim light.;0.96
gpt-4o     ;0.6        ;Write a quatrain about war               ;200   ;4        ;in fields where echoes of the battle cry   the shadows dance beneath a blood-red sky.   in silence broken dreams and hearts reside   yet hope persists where courage does not die.;1.03
gpt-4o     ;0.6        ;Write a quatrain about war               ;400   ;1        ;in fields where shadows cast their somber shade   the drums of war beat loud a grim parade.   yet in the chaos courage finds its voice   amidst the strife we seek a hopeful choice.;1.05
gpt-4o     ;0.6        ;Write a quatrain about war               ;400   ;2        ;in fields where silent shadows cast their gloom   the echoes of the past in whispers soar   brave souls march forth to meet an unknown doom   yet peace remains the dream they're fighting for.;0.98
gpt-4o     ;0.6        ;Write a quatrain about war               ;400   ;3        ;in fields where shadows stretch and silence weeps   the drums of war awaken ancient fears.   where valor shines yet countless promise sleeps   and dreams are drowned in rivers made of tears.;1.02
gpt-4o     ;0.6        ;Write a quatrain about war               ;400   ;4        ;in fields where echoes of conflict roar   brave hearts march on seeking peace once more.   through smoke and shadows hope's light will gleam   in fractured lands we dare to dream.;1.03
gpt-4o     ;0.6        ;Solve 2+2                                ;20    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;20    ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;20    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;20    ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;50    ;1        ;2 + 2 equals 4.;0.98
gpt-4o     ;0.6        ;Solve 2+2                                ;50    ;2        ;2 + 2 equals 4.;0.96
gpt-4o     ;0.6        ;Solve 2+2                                ;50    ;3        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;50    ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;100   ;1        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;100   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;100   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;100   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;200   ;1        ;the solution to \(2 + 2\) is \(4\).;0.98
gpt-4o     ;0.6        ;Solve 2+2                                ;200   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;200   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;200   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;400   ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;400   ;2        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;400   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.6        ;Solve 2+2                                ;400   ;4        ;2 + 2 equals 4.;0.98
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.01
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior and interactions of matter and energy on the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic outcomes.;0.26
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that deals with the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic behavior.;0.24
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic properties.;0.26
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic properties.;0.16
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.2 
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement.;0.2 
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles like electrons and photons exhibit wave-particle duality and exist in probabilistic states until measured.;0.18
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.;0.2 
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the behavior and interactions of particles at the smallest scales where the effects of quantization wave-particle duality and uncertainty become significant.;0.11
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior and interactions of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states.;0.23
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until measured.;0.21
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic properties.;0.17
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement.;0.15
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until measured.;0.23
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic properties.;0.2 
gpt-4o     ;0.8        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.14
gpt-4o     ;0.8        ;Write a quatrain about war               ;20    ;1        ;in fields where shadows cast their mournful pall   the drums of war resound a thunder;1.01
gpt-4o     ;0.8        ;Write a quatrain about war               ;20    ;2        ;upon the fields where shadows long do lay   the trumpets sound and banners fly on high;1.04
gpt-4o     ;0.8        ;Write a quatrain about war               ;20    ;3        ;upon the fields where shadows clash and meet   the cries of valor echo through the night.;1.05
gpt-4o     ;0.8        ;Write a quatrain about war               ;20    ;4        ;in fields where shadows stretch and silence fades   the echoes of past cries in whispers blend.;1.06
gpt-4o     ;0.8        ;Write a quatrain about war               ;50    ;1        ;in fields where shadows dance and fires roar   the echoes of the past and present soar.   in silent dawns the hopes of peace are sworn   yet still the drums of war are evermore.;0.97
gpt-4o     ;0.8        ;Write a quatrain about war               ;50    ;2        ;amidst the clash where shadows dance and play   the echoes of the past in silence lay.   in crimson fields where whispered winds implore   the cost of peace is paid by cries of war.;1.0 
gpt-4o     ;0.8        ;Write a quatrain about war               ;50    ;3        ;beneath the smoke the fields lay scarred and torn   where echoes of the past in silence mourn.   the crimson sun dips low yet still they fight   in shadows cast by war's unyielding night.;1.02
gpt-4o     ;0.8        ;Write a quatrain about war               ;50    ;4        ;upon the fields where shadows grimly play   the echoes of the battle's cries resound   through smoke and fire night consumes the day   in war's cruel dance lost souls are tightly bound.;1.02
gpt-4o     ;0.8        ;Write a quatrain about war               ;100   ;1        ;in fields where silent shadows tread and mourn   the echoes of the past in whispers worn   with courage clad yet hearts in sorrow's bind   war paints its tale on souls it leaves behind.;1.01
gpt-4o     ;0.8        ;Write a quatrain about war               ;100   ;2        ;in fields where shadows stretch and sigh   the echoes of the cannons cry   in battles fierce where hopes are torn   the seeds of peace await reborn.;1.06
gpt-4o     ;0.8        ;Write a quatrain about war               ;100   ;3        ;in fields where echoes of the battles cry   brave souls contend beneath a blood-red sky.   the scars of conflict etched in land and lore   yet in their hearts they dream of peace once more.;1.0 
gpt-4o     ;0.8        ;Write a quatrain about war               ;100   ;4        ;in fields where echoes of the battle cry   the shadows dance beneath a burning sky.   yet in the silence dreams of peace take flight   for every dawn must conquer darkest night.;0.97
gpt-4o     ;0.8        ;Write a quatrain about war               ;200   ;1        ;battles rage beneath a blood-red sky   echoes of valor mix with mournful cries.   fields of valor where brave souls lie   in war's dark shadow hope often dies.;1.07
gpt-4o     ;0.8        ;Write a quatrain about war               ;200   ;2        ;in fields where shadows stretch and darken skies   the echoes of the past in whispers lay   the drums of war with mournful distant cries   remind us of the price that peace must pay.;1.02
gpt-4o     ;0.8        ;Write a quatrain about war               ;200   ;3        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers soar.   where valor walks the price of peace it keeps   in scars of earth that tell the tale of war.;0.98
gpt-4o     ;0.8        ;Write a quatrain about war               ;200   ;4        ;in fields where shadows stretch and sorrow cries   the clash of steel beneath the darkened skies.   yet in the silence hope begins to weave   a dream of peace for those who still believe.;1.06
gpt-4o     ;0.8        ;Write a quatrain about war               ;400   ;1        ;in fields where shadows clash with light   the echoes of the past ignite   yet hope's soft whisper dares to rise   amidst the tears and silent cries.;1.04
gpt-4o     ;0.8        ;Write a quatrain about war               ;400   ;2        ;in shadows deep where echoes roar   the drums of war resound once more.   with courage clad yet hearts in fear   we seek for peace through pain and tear.;1.06
gpt-4o     ;0.8        ;Write a quatrain about war               ;400   ;3        ;in fields where shadows cast a mournful pall   the echoes of the past in silence lay   the cries of war a distant haunting call   yet hope through cracks of darkness finds its way.;1.09
gpt-4o     ;0.8        ;Write a quatrain about war               ;400   ;4        ;in fields where shadows stretch and cannons roar   the earth is stained with tales of dire despair.   yet in the silence after echoes soar   hope whispers softly through the smoke-filled air.;1.02
gpt-4o     ;0.8        ;Solve 2+2                                ;20    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;20    ;2        ;2 + 2 equals 4.;0.98
gpt-4o     ;0.8        ;Solve 2+2                                ;20    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;20    ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;50    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;50    ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;50    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;50    ;4        ;2 + 2 equals 4.;0.98
gpt-4o     ;0.8        ;Solve 2+2                                ;100   ;1        ;2 + 2 equals 4.;0.95
gpt-4o     ;0.8        ;Solve 2+2                                ;100   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;100   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;100   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;200   ;1        ;2 + 2 equals 4.;0.98
gpt-4o     ;0.8        ;Solve 2+2                                ;200   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;200   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;200   ;4        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;400   ;1        ;the solution to \(2 + 2\) is \(4\).;0.98
gpt-4o     ;0.8        ;Solve 2+2                                ;400   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;400   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.8        ;Solve 2+2                                ;400   ;4        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales;0.01
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales;0.12
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.2 
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles can exist in multiple states simultaneously and are fundamentally governed by probabilities rather than certainties.;0.18
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at very small scales where particles exhibit wave-particle duality and exist in probabilistic rather than deterministic states.;0.14
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exist in probabilistic states and exhibit both wave-like and particle-like properties.;0.15
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is the branch of physics that describes the behavior and interactions of particles at the smallest scales where the effects of quantization wave-particle duality and uncertainty are significant.;0.12
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until observed.;0.21
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic nature.;0.21
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior and interactions of matter and energy at the smallest scales where the effects of wave-particle duality quantization and uncertainty become significant.;0.14
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the behavior and interactions of particles at the smallest scales where probabilities and wave-particle duality fundamentally govern the dynamics.;0.22
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and are governed by probabilities rather than deterministic laws.;0.2 
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality superposition and entanglement defying classical intuition.;0.13
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities.;0.17
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy on very small scales where particles exhibit wave-particle duality uncertainty and entanglement.;0.19
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales such as atoms and subatomic particles where particles can exist in multiple states simultaneously and exhibit wave-particle duality.;0.21
gpt-4o     ;1.0        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality probabilistic outcomes and entanglement.;0.23
gpt-4o     ;1.0        ;Write a quatrain about war               ;20    ;1        ;beneath the steel-gray skies the echoes roar   a dance of shadows where the brave;1.08
gpt-4o     ;1.0        ;Write a quatrain about war               ;20    ;2        ;upon the field where shadows cast their dread   the echoes of the fallen still resound;1.07
gpt-4o     ;1.0        ;Write a quatrain about war               ;20    ;3        ;battles rage beneath a sullen sky   courage tested as the shadows loom.   cr;0.98
gpt-4o     ;1.0        ;Write a quatrain about war               ;20    ;4        ;in fields where shadows cast a grievous pall   the echoes of the past in silence roar;0.98
gpt-4o     ;1.0        ;Write a quatrain about war               ;50    ;1        ;upon the fields where shadows darkly tread   the echoes of a distant battle cry   in silence countless tales of honor bled   while weary winds of sorrow softly sigh.;1.1 
gpt-4o     ;1.0        ;Write a quatrain about war               ;50    ;2        ;amidst the clash of steel and burning flame   the echoes of the past refuse to die.   in fields where silent shadows stake their claim   the dreams of peace ascend into the sky.;1.02
gpt-4o     ;1.0        ;Write a quatrain about war               ;50    ;3        ;in fields where shadows darken sunlit skies   courageous hearts meet fear's relentless call.   the clash of arms where lost hopes and dreams lie   leaves echoes of despair on us all.;1.06
gpt-4o     ;1.0        ;Write a quatrain about war               ;50    ;4        ;fields once vibrant now lie still and bare   echoes of conflict linger in the air.   in silent whispers wounded hearts confide   hope endures where shadows used to stride.;0.98
gpt-4o     ;1.0        ;Write a quatrain about war               ;100   ;1        ;in fields where echoes of the past reside   the drums of war beat a somber refrain.   beneath the smoke where countless hopes have died   peace waits a fragile dream amidst the pain.;1.07
gpt-4o     ;1.0        ;Write a quatrain about war               ;100   ;2        ;in fields where silence used to reign   now echoes clash with cries of war.   the earth once fertile bears the stain   of dreams and hopes that are no more.;1.0 
gpt-4o     ;1.0        ;Write a quatrain about war               ;100   ;3        ;in fields where echoes of battle resound   soldiers march on beneath a darkened sky.   amidst the chaos silent cries are found   a yearning for peace as the ages pass by.;1.04
gpt-4o     ;1.0        ;Write a quatrain about war               ;100   ;4        ;in fields where echoes of past battles lay   the silent sun observes the endless plight.   yet in the hearts of those who fight and sway   hope whispers softly 'neath the shroud of night.;1.0 
gpt-4o     ;1.0        ;Write a quatrain about war               ;200   ;1        ;in fields where echoes of the battles ring   the earth bears scars that time will never hide   beneath the flags the songs of sorrow sing   as hope and peace in shadows softly bide.;0.99
gpt-4o     ;1.0        ;Write a quatrain about war               ;200   ;2        ;in fields where shadows stretch and linger long   the clash of steel writes sorrow’s mournful song.   brave hearts are bound by duty's fierce decree   in war's embrace none truly are set free.;1.05
gpt-4o     ;1.0        ;Write a quatrain about war               ;200   ;3        ;upon the fields where shadows linger long   echoes of conflict in the silent morn   brave hearts once bright now hushed in solemn song   where tears and valor in the night are worn.;0.9 
gpt-4o     ;1.0        ;Write a quatrain about war               ;200   ;4        ;in fields where shadows stretch and linger long   the drums of war beat loud a mournful song.   in crimson strife the innocent are swept   yet still in silent graves their dreams are kept.;1.04
gpt-4o     ;1.0        ;Write a quatrain about war               ;400   ;1        ;in fields of conflict echoes cry   where shadows dance beneath the sky   the silent tears for peace implore   yet still the drums resound of war.;1.07
gpt-4o     ;1.0        ;Write a quatrain about war               ;400   ;2        ;in fields where echoes of the past reside   brave souls march on with duty as their guide   the earth bears witness to each heavy tread   where silent whispers mourn the fallen dead.;1.05
gpt-4o     ;1.0        ;Write a quatrain about war               ;400   ;3        ;in fields where echoes of the past reside   steel clashes sing a mournful bitter song   a dance of shadows where hopes collide   in war's cruel grasp none truly belong.;1.01
gpt-4o     ;1.0        ;Write a quatrain about war               ;400   ;4        ;in fields where shadows cast a somber gloom   the echoes of the past in silence loom.   yet in the crimson dawn hopes renew their start   for peace to sow new seeds within the heart.;0.99
gpt-4o     ;1.0        ;Solve 2+2                                ;20    ;1        ;\(2 + 2 = 4\). ;0.98
gpt-4o     ;1.0        ;Solve 2+2                                ;20    ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;20    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;20    ;4        ;\(2 + 2 = 4\)  ;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;50    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;50    ;2        ;the solution to \(2 + 2\) is \(4\).;0.94
gpt-4o     ;1.0        ;Solve 2+2                                ;50    ;3        ;2 + 2 equals 4.;0.98
gpt-4o     ;1.0        ;Solve 2+2                                ;50    ;4        ;the solution to \(2 + 2\) is \(4\).;0.93
gpt-4o     ;1.0        ;Solve 2+2                                ;100   ;1        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;100   ;2        ;the answer to \(2 + 2\) is \(4\).;0.98
gpt-4o     ;1.0        ;Solve 2+2                                ;100   ;3        ;2 + 2 equals 4.;0.98
gpt-4o     ;1.0        ;Solve 2+2                                ;100   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;200   ;1        ;the solution to \(2 + 2\) is \(4\).;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;200   ;2        ;2 + 2 equals 4.;0.98
gpt-4o     ;1.0        ;Solve 2+2                                ;200   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;200   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;400   ;1        ;2 + 2 = 4.     ;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;400   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;1.0        ;Solve 2+2                                ;400   ;3        ;2 + 2 equals 4.;0.94
gpt-4o     ;1.0        ;Solve 2+2                                ;400   ;4        ;2 + 2 equals 4.;0.92
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
